Año,Trimestre,Provincia,Accesos por cada 100 hab
2017,4,Buenos Aires,19
2017,4,Capital Federal,52
2017,4,Catamarca,7
2017,4,Chaco,8
2017,4,Chubut,16
2017,4,Córdoba,19
2017,4,Corrientes,9
2017,4,Entre Ríos,14
2017,4,Formosa,5
2017,4,Jujuy,6
2017,4,La Pampa,23
2017,4,La Rioja,14
2017,4,Mendoza,9
2017,4,Misiones,8
2017,4,Neuquén,18
2017,4,Río Negro,15
2017,4,Salta,10
2017,4,San Juan,8
2017,4,San Luis,3
2017,4,Santa Cruz,9
2017,4,Santa Fe,19
2017,4,Santiago Del Estero,7
2017,4,Tierra Del Fuego,18
2017,4,Tucumán,10
2017,3,Buenos Aires,18
2017,3,Capital Federal,51
2017,3,Catamarca,8
2017,3,Chaco,8
2017,3,Chubut,14
2017,3,Córdoba,19
2017,3,Corrientes,8
2017,3,Entre Ríos,14
2017,3,Formosa,5
2017,3,Jujuy,6
2017,3,La Pampa,23
2017,3,La Rioja,14
2017,3,Mendoza,10
2017,3,Misiones,8
2017,3,Neuquén,18
2017,3,Río Negro,15
2017,3,Salta,10
2017,3,San Juan,8
2017,3,San Luis,4
2017,3,Santa Cruz,10
2017,3,Santa Fe,19
2017,3,Santiago Del Estero,9
2017,3,Tierra Del Fuego,19
2017,3,Tucumán,10
2017,2,Buenos Aires,18
2017,2,Capital Federal,52
2017,2,Catamarca,7
2017,2,Chaco,8
2017,2,Chubut,11
2017,2,Córdoba,18
2017,2,Corrientes,8
2017,2,Entre Ríos,14
2017,2,Formosa,5
2017,2,Jujuy,6
2017,2,La Pampa,21
2017,2,La Rioja,4
2017,2,Mendoza,9
2017,2,Misiones,8
2017,2,Neuquén,18
2017,2,Río Negro,14
2017,2,Salta,8
2017,2,San Juan,7
2017,2,San Luis,3
2017,2,Santa Cruz,8
2017,2,Santa Fe,16
2017,2,Santiago Del Estero,4
2017,2,Tierra Del Fuego,20
2017,2,Tucumán,9
2017,1,Buenos Aires,19
2017,1,Capital Federal,46
2017,1,Catamarca,7
