Feature,Coefficient
Localidad_San Jose,2.5302489079256383e-11
Localidad_Bella Vista,2.5175841390052113e-11
Localidad_Maipú,2.5128064850654284e-11
Partido_General Lamadrid,2.5114778497271723e-11
Localidad_Villa Castelli,2.5114778497271723e-11
Partido_Cerrillos,2.5017905144171132e-11
Localidad_Posta Cambio Zalazar,2.498867477503444e-11
Localidad_La Rioja,2.4881108414123943e-11
Localidad_Quirós,2.4640427549375797e-11
Partido_Adolfo Alsina,2.4592299223296555e-11
Localidad_Pueblo Libertador,2.4577121001917294e-11
Localidad_San Ignacio,2.4549849367565856e-11
Localidad_El Bracho,2.451955223247518e-11
Partido_SANTA BARBARA,2.4377810032698333e-11
Localidad_La Cumbre,2.4371557502872685e-11
Localidad_Cuipan,2.4341668669071045e-11
Partido_Pilagás,2.4183203686148316e-11
Localidad_Choya,2.4112307464636703e-11
Partido_Anta,2.4066025488163834e-11
Localidad_Abra Pampa,2.405801027646202e-11
Localidad_Los Núñez,2.4033160064410986e-11
Localidad_Mártires,2.4032036188891277e-11
Localidad_Chañar Pozo de Abajo,2.40217018595055e-11
Localidad_Los Palacios,2.3926275995650914e-11
Localidad_Saujil,2.386007251512824e-11
Partido_Chacabuco,2.3853407969857632e-11
Localidad_El Rodeo,2.3808163435345495e-11
Localidad_Gobernador Juan E. Martínez,2.3797483584456888e-11
Localidad_Chamical,2.3735705881403196e-11
Partido_Chamical,2.3735705881403196e-11
Localidad_La Tigra,2.3704952644763815e-11
Localidad_Los Tigres,2.3652629117211492e-11
Localidad_Malanzán,2.361783805136576e-11
Localidad_Villa San José de Vinchina,2.3517466940961653e-11
Localidad_Nonogasta,2.350670185461528e-11
Localidad_San Francisco de Laishi,2.3461077819016854e-11
Localidad_Maimará,2.3460032611680584e-11
Localidad_Los Corralitos,2.3451788786321004e-11
Localidad_Castelar,2.3404844681612957e-11
Localidad_Frías,2.3404088703750433e-11
Localidad_Puente de Hierro,2.338073063227688e-11
Partido_Río Hondo,2.3351900429275444e-11
Localidad_Caimancito,2.3338497383598587e-11
Localidad_La Cañada,2.333813575046311e-11
Localidad_Chalicán,2.3319091347665448e-11
Localidad_Colonia El Simbolar,2.3309811636125403e-11
Localidad_Vilelas,2.33069658758423e-11
Localidad_Pueblo General Belgrano,2.330459724071601e-11
Localidad_Victorica,2.3297266606659242e-11
Localidad_Malbrán,2.3277608206267627e-11
Partido_General Belgrano,2.3261839306778963e-11
Localidad_Panambi Kilómetro 15,2.325013148846343e-11
Localidad_Tinogasta,2.317083409542341e-11
Localidad_Pluma de Pato,2.313791600257423e-11
Localidad_Bañado de Ovanta,2.3119211232032195e-11
Localidad_Tumbaya,2.3114434447893062e-11
Localidad_Colonia Carolina,2.3102929051195718e-11
Localidad_Darwin,2.3100672958663427e-11
Localidad_Campanas,2.3087155069036022e-11
Localidad_La Arboleda,2.305278728465676e-11
Localidad_Garupá,2.3036788611877105e-11
Localidad_Machigasta,2.3015285023163436e-11
Partido_Matacos,2.298022925018177e-11
Localidad_Ingeniero Guillermo N. Juárez,2.298022925018177e-11
Localidad_Rancul,2.2967436148156506e-11
Localidad_Ulapes,2.2959691159365392e-11
Localidad_Monteros,2.2919389030821266e-11
Localidad_Cortaderas,2.2915238120009926e-11
Localidad_Formosa,2.2896644677520997e-11
Localidad_Milagro,2.287071428060431e-11
Localidad_Villa Ojo de Agua,2.2764766900387256e-11
Localidad_Bandera Bajada,2.2748948744535297e-11
Localidad_Villa Kilómetro 213,2.2680053586481983e-11
Localidad_Los Juríes,2.267340257962914e-11
Localidad_Miramar,2.2672971085096917e-11
Localidad_Tintina,2.2663443335523617e-11
Localidad_Villa Mailín,2.2657258988598456e-11
Localidad_Tatacua,2.2647694942910464e-11
Localidad_Alto de Sierra,2.2644304825952148e-11
Localidad_Belén,2.2628060603059346e-11
Localidad_Campo Gallo,2.2620739614093703e-11
Localidad_Villa Atamisqui,2.2618604166594874e-11
Localidad_Weisburd,2.2617511466977137e-11
Localidad_Los Varela,2.2608541549472627e-11
Partido_Bella Vista,2.2608280563997322e-11
Localidad_San Víctor,2.2583690902037765e-11
Localidad_Corpus,2.2541751499231317e-11
Localidad_Cerrillos,2.253935767264085e-11
Localidad_Panambí Kilómetro 8,2.2538850769596033e-11
Localidad_Sañogasta,2.2516689966626276e-11
Localidad_Puerto Vilelas,2.2514374338326115e-11
Localidad_Lugones,2.2508340404669457e-11
Localidad_Villa Bonita,2.2491783595264953e-11
Partido_Mburucuyá,2.2489052220683102e-11
Localidad_Mburucuyá,2.2489052220683102e-11
Localidad_Villa Las Pirquitas,2.2466526877550825e-11
Localidad_General Pinedo,2.246164142344641e-11
Localidad_Rapelli,2.2460898599260447e-11
Localidad_Ferri,2.2440570581122913e-11
Localidad_Tabay,2.242126482046072e-11
Localidad_Colonia Nueva Coneta,2.2415064143927193e-11
Localidad_Simoca,2.241429703700163e-11
Localidad_El Alto,2.239803387003029e-11
Localidad_Rio Blanco,2.2389936445690942e-11
Localidad_Coronel Cornejo,2.2389704630548507e-11
Localidad_Perugorría,2.2353742599229217e-11
Localidad_Aristóbulo del Valle,2.2352125186745757e-11
Partido_San Vicente,2.2349494058133414e-11
Localidad_Cabra Corral,2.234174844450497e-11
Localidad_Copo Quile,2.2325006729244555e-11
Partido_Famaillá,2.2324048000881136e-11
Localidad_Famaillá,2.2324048000881136e-11
Localidad_La Quiaca,2.2320747146398656e-11
Localidad_Guandacol,2.230488066053699e-11
Localidad_Quitilipi,2.2295503027546082e-11
Localidad_San Fernando del Valle de Catamarca,2.228450158753129e-11
Localidad_Sierra Colorada,2.2277685160085648e-11
Localidad_Laguna Yema,2.227468839881425e-11
Localidad_Corzuela,2.2266594352928586e-11
Localidad_General Acha,2.2265647864892758e-11
Localidad_Villa Carmela,2.2258321851355017e-11
Localidad_Metán Viejo,2.2255629917333712e-11
Localidad_Campo Quijano,2.2251974443778175e-11
Localidad_Sol de Julio,2.2220600445523277e-11
Localidad_Diagonal Norte - Luz y Fuerza - Los Pocitos - Villa Nueva Italia (6),2.221838282286656e-11
Localidad_Añatuya,2.2208501909355986e-11
Localidad_Costa de Araujo,2.2197633124589678e-11
Localidad_Coronel Belisle,2.2183069833072606e-11
Localidad_Carpintería,2.216391178022486e-11
Localidad_Riacho He-He,2.215709534909417e-11
Localidad_Tama,2.2140906056564863e-11
Localidad_El Caburé,2.2130212688188257e-11
Partido_Sanagasta,2.2118050435061688e-11
Localidad_Villa Sanagasta,2.2118050435061688e-11
Localidad_Lonquimay,2.2112217952631162e-11
Localidad_Sargento Vidal,2.210929506959564e-11
Localidad_Piedrabuena,2.2107241966196953e-11
Localidad_Misión Tacaagle,2.2088340143257503e-11
Localidad_Patquía,2.2069282674223072e-11
Partido_Coronel de Marina L. Rosales,2.2064252214230655e-11
Localidad_Hasenkamp,2.2040123287597712e-11
Localidad_Ciervo Petiso,2.2031370912803063e-11
Localidad_Cruz de Piedra,2.202133703176126e-11
Localidad_Arata,2.201935476463829e-11
Localidad_Las Lomitas,2.2009320511132037e-11
Localidad_Unión,2.1983580827759665e-11
Localidad_San Francisco del Monte de Oro,2.1975060802867764e-11
Localidad_La Mendieta,2.19681698273984e-11
Localidad_Arizona,2.1965594677987754e-11
Localidad_Jubileo,2.1942208026168316e-11
Localidad_Tilcara,2.1941152057163444e-11
Localidad_Joaquín V. González,2.1938911344167673e-11
Localidad_Comandante Fontana,2.1916053275606075e-11
Localidad_Puerto Leoni,2.1910726761720974e-11
Localidad_La Criolla,2.190579890904391e-11
Localidad_Pueblo Brugo,2.1903305509107826e-11
Localidad_Makallé,2.18929866900501e-11
Localidad_Ibicuy,2.1889158036444447e-11
Localidad_El Bobadal,2.1887361026635028e-11
Localidad_Aldea Brasilera,2.1884947835720534e-11
Localidad_Hickman,2.188224285394915e-11
Localidad_Garza,2.1879879763357832e-11
Localidad_Caraguatay,2.1878974385430056e-11
Localidad_Campo Ramón,2.1870227266515913e-11
Localidad_Paso de la Patria,2.185502878630452e-11
Localidad_Londres,2.1849988902772772e-11
