Provincia,Partido,Localidad,Poblacion,ADSL,Cablemodem,Dial Up,Fibra optica,Satelital,Wireless,Telefonia Fija,3G,4G,Link,Latitud,Longitud
ENTRE RIOS,Uruguay,Caseros,1948,SI,--,--,SI,--,SI,SI,SI,SI,30098020,-32.46427726,-58.47807187
ENTRE RIOS,Uruguay,Colonia Elía,741,--,--,--,SI,--,SI,SI,--,SI,30098030,-32.67237178,-58.32511924
ENTRE RIOS,Uruguay,Concepción del Uruguay,72528,SI,SI,SI,SI,--,SI,SI,SI,SI,30098040,-32.48536017,-58.23205174
ENTRE RIOS,Uruguay,Estancia San Pedro,0,--,--,--,--,--,SI,--,--,--,30098030,-32.2669,-58.6294
ENTRE RIOS,Uruguay,Herrera,1251,SI,--,--,--,--,SI,SI,--,SI,30098060,-32.43461398,-58.63301371
ENTRE RIOS,Uruguay,Las Moscas,383,--,--,--,SI,--,SI,SI,--,SI,30098070,-32.09266669,-58.95759236
ENTRE RIOS,Uruguay,Líbaros,230,--,--,--,--,--,SI,SI,--,--,30098080,-32.26294793,-58.90661081
ENTRE RIOS,Uruguay,Pronunciamiento,976,--,--,--,--,--,SI,SI,SI,SI,30098100,-32.34565078,-58.44385911
ENTRE RIOS,Uruguay,Rocamora,281,--,--,--,--,--,SI,SI,--,--,30098110,-32.34597296,-58.96974541
ENTRE RIOS,Uruguay,Santa Anita,1187,--,--,--,SI,--,SI,SI,--,SI,30098120,-32.17624663,-58.78648225
ENTRE RIOS,Uruguay,Villa Mantero,1427,SI,--,--,SI,SI,SI,SI,SI,SI,30098130,-32.39870913,-58.7440639
ENTRE RIOS,Uruguay,Villa San Justo,1337,--,--,--,SI,--,SI,SI,SI,SI,30098140,-32.4463199,-58.43591383
ENTRE RIOS,Uruguay,Villa San Marcial (Est. Gobernador Urquiza),639,--,--,--,--,--,SI,SI,SI,SI,30098150,-32.1800624,-58.9301272
ENTRE RIOS,Victoria,Antelo,211,--,--,--,--,--,--,--,--,--,30105010,-32.53381026,-60.03569661
MENDOZA,Lavalle,El Vergel,362,--,--,--,--,--,SI,--,--,--,50056100,-32.76231322,-68.64760118
MENDOZA,Lavalle,Ingeniero Gustavo André,288,--,--,--,--,--,SI,--,--,--,50056110,-32.6824002,-68.32689691
MENDOZA,Lavalle,Jocolí,684,--,--,--,--,--,SI,--,--,--,50056120,-32.61254105,-68.6790409
MENDOZA,Lavalle,Jocolí Viejo,422,--,--,--,--,--,SI,--,--,--,50056130,-32.72746234,-68.66023196
MENDOZA,Lavalle,Las Violetas,87,--,--,--,--,--,--,--,--,--,50056140,-32.82081519,-68.61641408
MENDOZA,Lavalle,Villa Tulumaya,7870,--,--,--,SI,--,SI,--,SI,SI,50056160,-32.71961424,-68.60304385
MENDOZA,Luján de Cuyo,Agrelo,2147,SI,--,--,SI,--,SI,SI,SI,SI,50063010,-33.11738444,-68.89602354
MENDOZA,Luján de Cuyo,Barrio Adina I Y Ii,0,--,--,--,--,--,--,--,SI,SI,50063060,-33.06493882,-68.88770149
MENDOZA,Luján de Cuyo,Barrio Perdriel IV,371,--,--,--,SI,--,SI,--,--,SI,50063020,-33.07532823,-68.9250404
MENDOZA,Luján de Cuyo,Cacheuta,636,SI,--,--,--,--,SI,SI,SI,SI,50063030,-33.03671044,-69.11590683
MENDOZA,Luján de Cuyo,CARRODILLA,0,--,--,--,SI,--,SI,--,SI,SI,50063060,-32.97765783,-68.85243946
MENDOZA,Luján de Cuyo,CHACRAS DE CORIA,0,--,--,--,SI,--,SI,--,SI,SI,50063060,-32.98990321,-68.89136792
